filename	event_labels
BNMvx1eB9B8_30_40	Baby_cry_infant_cry
5wZGZRoeEaw_180_190	Cello,Violin_fiddle
KQYBC78QifY_40_50	Blender
DBBpNb99_-I_60_70	Singing,Speech
CgJDW2mjhKY_1_11	Speech,Baby_cry_infant_cry
GBvn7VpQNwo_30_40	Blender
4dYGxoFrg_U_120_130	Frying_(food)
I05CLIfW-Gc_30_40	Speech,Dog
Kv7r2c8ztUU_30_40	Telephone_bell_ringing,Speech
56DAM74mj4o_110_120	Speech,Frying_(food)
HJxmJcbowxc_30_40	Helicopter,Speech
FlYXYATDw2U_10_20	Speech,Dog
86rBaUnvabk_40_50	Vacuum_cleaner
1O3YLKPkpWA_50_60	Car
ErExAwBKNPw_80_90	Helicopter
8HEAEalSnno_490_500	Speech,Fire_alarm
CdwDAvZB6-w_440_450	Cat,Speech
Elq7JR_OQOE_180_190	Chainsaw
-1IqjtYVuK4_2_12	Speech,Car
DzUWEIwvrN4_30_40	Chicken_rooster,Speech
JGXjfrkBHy8_60_70	Chicken_rooster
GPR-kd-dhCQ_210_220	Singing,Speech
3SeRE7eyFrE_200_210	Cheering
Ech6gMR0dUI_170_180	Accordion
1xg5haxzjFQ_0_10	Chainsaw
ArJISeNycnM_30_40	Singing,Speech
EyjIKbfFp54_430_440	Helicopter
MSGX3yfPfTw_0_10	Speech,Accordion
OytW_Wbwd7E_190_200	Chainsaw
6Yv8NkFdGqs_18_28	Baby_cry_infant_cry
AJXfXWxxLgk_0_10	Speech,Vacuum_cleaner
FqhVQJEs03U_30_40	Violin_fiddle,Speech
OJNjWFqFCME_40_50	Vacuum_cleaner
IRX1PKMmYVk_100_110	Helicopter
1aX1veB6AkU_30_40	Cheering,Speech
0_wopBSgNhc_30_40	Speech,Accordion
2-L_J9VsZhw_40_50	Accordion
2YEhKhUt6qQ_30_40	Speech,Car
AIGmmaB1jNg_260_270	Blender,Speech
92qUE1441Y0_40_50	Singing
DkUo9z5mTY4_17_27	Cat,Speech
AElJ08gIOOM_470_480	Cello,Violin_fiddle
HlTYIyKAxWM_230_240	Cello,Violin_fiddle
C84pmmPC8EQ_200_210	Singing,Speech
A3OIriUxzGE_180_190	Singing,Acoustic_guitar
ApYYW16vizo_30_40	Acoustic_guitar,Speech
JMGYiGyFfOw_60_70	Speech,Dog
BpOozdam3HM_10_20	Speech,Dog
26-IOKVVoiA_0_10	Cheering
FmzrlRPUkiI_40_50	Chicken_rooster,Speech
FW1AzXKQHSw_20_30	Motorcycle
EAQ58p1i00E_30_40	Lawn_mower,Speech
Fggm2zQyUrk_50_60	Speech,Dog
IGazAv2hl4s_30_40	Violin_fiddle,Speech
LthQzaqf7MA_0_10	Baby_cry_infant_cry
5ZEDbxu3bS8_50_60	Lawn_mower
E1BAbeoONyU_20_30	Basketball_bounce
D9eEgB0rS_I_10_20	Singing
AImAM0Xo8ho_110_120	Singing,Speech
38w6X_itqf8_120_130	Singing
FtlGGWtZG3A_240_250	Accordion
2nNHGJ0jFBU_30_40	Speech,Car
DMiKdmwbU84_110_120	Singing
2n1ns5DGScc_280_290	Speech,Accordion
4CwwaDQwzkQ_30_40	Singing
HmNrjXc3LXs_30_40	Violin_fiddle,Speech
C8nEH696hlI_30_40	Accordion
-9IAavxdpAU_30_40	Car
6XRQSLQc-Vc_30_40	Cheering
GUbTD533KJ8_80_90	Singing
Mde-p_756D8_30_40	Helicopter,Speech
DyzllyjXp04_30_40	Violin_fiddle,Speech
CN7qu_1k3F8_550_560	Lawn_mower
L8DUZp5guCE_0_10	Chicken_rooster,Speech
KfRv9VdibOU_420_430	Singing,Acoustic_guitar
5jdi3vQqZeY_30_40	Cheering
0mAShgDovvU_30_40	Speech,Car
CpbVEVzQuHU_40_50	Cello,Violin_fiddle
0z9y-xZKlng_30_40	Car
PASrCJUJQSo_30_40	Telephone_bell_ringing
6AOEKQPNLCA_30_40	Cheering
-0TiYRskBuA_70_80	Cello,Violin_fiddle
13KzuZ8zt4Q_30_40	Speech,Car
IEgXdfMcE3U_50_60	Motorcycle,Speech
HWFMF9xczts_390_400	Cello,Violin_fiddle
HthGRhD01vY_30_40	Violin_fiddle
LIBNF0ye2G8_140_150	Cello,Violin_fiddle
CHf2TKlL3MI_120_130	Basketball_bounce,Speech
ElqR9DKVsRY_360_370	Speech,Dog
9iSmuFL7r3I_70_80	Helicopter
6IjMaDeI19M_520_530	Basketball_bounce,Speech
P-zWgfFzQkQ_30_40	Violin_fiddle,Speech
JCmPKPgLAFA_90_100	Chicken_rooster
LEUyx71lzT4_30_40	Violin_fiddle,Speech
FC2dqJhsfx8_260_270	Helicopter
1C0bH19uXh0_0_10	Chainsaw,Motorcycle
BEnvYQN_LEE_420_430	Motorcycle
HX-9V680aK0_0_10	Speech,Dog
0IPDrn0Ad8A_10_20	Speech,Car
7-78rEB3HVg_30_40	Basketball_bounce,Speech
6wmjb19uPf8_50_60	Basketball_bounce,Speech
Fc20JlpTEyg_30_40	Violin_fiddle
7olKwGplgfg_30_40	Baby_cry_infant_cry
0ze5wxv9rPQ_460_470	Cello,Violin_fiddle
PBqrYFp7lv4_250_260	Vacuum_cleaner
AVkc-awDiqc_30_40	Singing,Banjo
2b0cNGztyWM_110_120	Cheering
0NBv5oPGXKE_30_40	Speech,Car
Et_MAi9n4wU_70_80	Frying_(food)
N5De8BndvNY_120_130	Basketball_bounce,Speech
GW5IiLCKkmk_13_23	Speech,Baby_cry_infant_cry
HjhiaqbRsKk_140_150	Chicken_rooster
ERpjjqR8iSY_30_40	Speech,Clapping
IRWIU9vsMN0_190_200	Speech,Clapping
HZQ5DN5SgUc_60_70	Speech,Dog
Bi6KCe9AM30_150_160	Blender
Jmh9S5Ji0To_500_510	Basketball_bounce,Cheering,Speech
36XWnRAV9Q8_30_40	Speech,Car
GX5MWm7Oqvk_30_40	Acoustic_guitar,Speech
HXCfUHxFkTI_0_10	Singing,Accordion
BiFsaXGNiC0_40_50	Helicopter
0q7X1-CQny0_30_40	Speech,Clapping
12VgnlXNjqo_30_40	Car
33ffwvQX3AQ_30_40	Cheering
0HNWwiZRHR4_240_250	Basketball_bounce,Speech
1Thl7Z3f9eM_13_23	Car
HVUfGg9BiD8_160_170	Chicken_rooster
IXt6jqcNdVY_270_280	Blender
37ycH2hW5Fw_30_40	Speech,Car
0Nh_9jYOjbk_30_40	Helicopter
562_lBqDwYw_30_40	Cheering
FSQ2vBJ0hmw_15_25	Baby_cry_infant_cry
9IImzVhrI8w_240_250	Helicopter
3b0WnxNfOf8_0_10	Vacuum_cleaner
77f_bjlVDYM_150_160	Cello,Violin_fiddle,Accordion
FNeGsTUVmq4_180_190	Speech,Fire_alarm
G2RyVEmPprw_60_70	Singing,Banjo
NDtTP08LxXU_30_40	Violin_fiddle,Speech
9I7QCY0lgmQ_120_130	Banjo
ODh0NFuN4zQ_430_440	Acoustic_guitar,Speech
HZDFsmosANc_90_100	Cello,Violin_fiddle
Gmjbz-WP-Hk_30_40	Speech,Baby_cry_infant_cry
41gOdlh5l-s_30_40	Dog
1VH8orDEFWQ_30_40	Accordion
BFEt_LCE7k0_3_13	Chicken_rooster
OxuskE2qenI_140_150	Cello,Violin_fiddle
KnApiT9R3_c_30_40	Chicken_rooster
Bz75NlE5cME_110_120	Cello,Violin_fiddle
0X4Mawa7Olk_30_40	Speech,Car
ChCcUk2dmMU_110_120	Cello,Violin_fiddle
EkiqA72MT5g_30_40	Cello,Violin_fiddle
BIAkLC-gy2Y_250_260	Helicopter,Speech
O8ZMNDgV5Cw_22_32	Cat,Speech
IXFNaTHXnqo_0_10	Motorcycle,Speech
1J9dc9Dpqhs_10_20	Accordion
KkfmL7vwSuw_390_400	Vacuum_cleaner
DIjLfQH1gLc_30_40	Violin_fiddle,Speech
EX9p50MIexs_100_110	Singing,Speech,Accordion
ASgDGFgxwJ0_20_30	Singing,Speech
AB5T60I9HJw_30_40	Frying_(food)
HAVYFk2vi18_30_40	Banjo,Speech
3UkIbzW1t-I_70_80	Helicopter
0aISAv3f6Ow_30_40	Speech,Car
2PueFK0qpKk_40_50	Helicopter
P3PTJdWfYwk_290_300	Motorcycle,Speech
JNuBZpjAARI_210_220	Cello,Violin_fiddle
LYOfjQ24fUo_30_40	Violin_fiddle,Speech
9SUeZUG0YEM_30_40	Lawn_mower
LxALvHCKb9s_30_40	Violin_fiddle
FOe1fZ7reps_210_220	Helicopter,Speech
LsprnA4zDKQ_10_20	Speech,Dog
IBCc81Pz6bM_160_170	Frying_(food)
2ZPUqqEqNnk_130_140	Cello,Violin_fiddle
DHkcphUwLyU_0_10	Telephone_bell_ringing
ACp9SlKjsvU_30_40	Cello,Violin_fiddle
C2Ai_RKUxPY_30_40	Chainsaw
P3YZTglOM44_7_17	Speech,Baby_cry_infant_cry
IoOT2S7_Tp4_30_40	Speech,Baby_cry_infant_cry
CPk9c80zz_8_330_340	Helicopter
KInoZG87_44_30_40	Speech,Dog
EIBpY5Z0VV4_60_70	Singing,Speech
OpSuylLrjzI_10_20	Speech,Vacuum_cleaner
EeKAFNWmaVg_140_150	Singing
LTHcFJdkiHQ_30_40	Speech,Baby_laughter
DZ17m6K9znk_30_40	Violin_fiddle,Speech
1LK2ix51FUk_30_40	Speech,Car
FwA0BXNYUXQ_30_40	Chicken_rooster
Ex2jIUqZfgE_120_130	Singing
15W44zazNlU_40_50	Cello,Violin_fiddle
Aeku3poeg0A_17_27	Cat,Speech
-9HoMjD6Opk_30_40	Chainsaw
9WC0cEmaFAU_30_40	Cello,Violin_fiddle
9zlVuADmmis_120_130	Vacuum_cleaner
M13X4_vojZ8_0_10	Singing,Cheering,Speech
M2MCC7SLhcM_160_170	Singing,Cheering
6CCjRlDMsnY_110_120	Speech,Frying_(food)
37V-Gl_eMBM_110_120	Cheering
OEhajiyf41o_10_20	Frying_(food)
9GmZFnAJsjE_50_60	Speech,Frying_(food)
7wi2e54glEM_180_190	Blender
EVkMRqDXdaM_30_40	Accordion
7ppZ2KkmO-4_320_330	Singing,Violin_fiddle
1M7hoa_lZIE_10_20	Car
MFfDXp9K3Bk_140_150	Speech,Dog
H51dB6o1zjo_70_80	Cheering,Speech
7eAIvG3uFjo_10_20	Chainsaw
P4WwQ4-SQN4_28_38	Chainsaw,Speech
MezzZ_kAeEw_160_170	Singing,Cheering
LGzT4VHVv54_590_600	Basketball_bounce,Speech
IiIdEtbpse4_30_40	Singing,Speech
60_vesJU0I8_50_60	Cheering
IIR5miWyQ3w_30_40	Helicopter,Speech
MDOv2fsZCUY_2_12	Speech,Baby_cry_infant_cry
G_oXgtubn0o_14_24	Speech,Baby_cry_infant_cry
DoW-vPhJbK4_60_70	Blender,Speech
BP_xXc323cs_0_10	Speech,Dog
P9kQpiteAqE_0_10	Basketball_bounce,Speech
1XxjMFDWtK8_30_40	Speech,Car
Nbmc0U5HPl0_170_180	Fire_alarm
H3wDttmT2Fw_30_40	Speech,Fire_alarm
OUqrl2LA-SU_50_60	Chainsaw
M4ECu3DvCsQ_10_20	Motorcycle,Speech
Ge9EgYduY34_180_190	Lawn_mower
5DWeyRCs4aI_80_90	Cheering
Is5ue715VlM_30_40	Violin_fiddle,Speech
OTt5b15aGrc_70_80	Singing,Acoustic_guitar
7WS3tOWigoc_390_400	Accordion
MkQPqXcMM3Y_160_170	Blender
DZXQWcbMW9U_480_490	Vacuum_cleaner
4dcmUaJWEBA_250_260	Speech,Frying_(food)
BpCL6uea6bg_160_170	Motorcycle,Speech
GOItnk9sVdU_30_40	Singing
7pWSgDyrcqk_220_230	Accordion
LyHnIuHiRS4_20_30	Helicopter,Speech
KYq1YByD6Ro_220_230	Helicopter,Speech
8KuJppQ-eYo_60_70	Blender
DTHjyhx9tLE_0_10	Baby_laughter
6g6k1SHWM00_30_40	Acoustic_guitar,Violin_fiddle
Dgy3We6mv3s_30_40	Cat,Speech
2e40cPOikuI_340_350	Singing,Acoustic_guitar
44PsYJNgEek_6_16	Chainsaw
-sTWUmy-25w_20_30	Cello,Violin_fiddle
G11_iEsyjAc_28_38	Speech,Baby_cry_infant_cry
5teFWxJAe3I_40_50	Basketball_bounce
IQ2bHS59KnI_30_40	Helicopter,Speech
AYTRKkDJAQM_30_40	Speech,Baby_cry_infant_cry
D_6T1fYSC4A_90_100	Acoustic_guitar,Speech
OZJVkHokaTQ_20_30	Singing,Speech
I2PMVC-clSI_0_10	Cheering,Speech
N2kpNON2YxY_10_20	Fire_alarm
M048pvuHYDw_30_40	Violin_fiddle,Speech
7MOHR1la1AE_110_120	Cello,Violin_fiddle
OG6nS4LTiT8_21_31	Cello,Violin_fiddle
1sgf8B7oVFs_380_390	Violin_fiddle
FRvoOs3HJIk_60_70	Speech,Dog
MOxddxW5PXs_30_40	Speech,Frying_(food)
Ije0xxBIf-8_30_40	Chainsaw
154eGX3ZkLA_30_40	Car
M_R5WW14Q24_30_40	Violin_fiddle,Speech
LIAXrA-Jlmk_60_70	Singing,Acoustic_guitar
Ff_C8Ufoutc_30_40	Violin_fiddle,Speech
CM_buKApgis_6_16	Chicken_rooster,Speech
5P78H_fNvbg_80_90	Blender
37Neq-Xx0Ao_280_290	Cheering
Md5pjwC346Y_30_40	Cheering,Speech
4RyI5l1o7jA_170_180	Cheering
C5hCSx7GDns_100_110	Chainsaw,Speech
Bs6SMNq51Gw_140_150	Cello,Violin_fiddle
JizAHmZfNVk_10_20	Helicopter
8ERZL7msg9Y_60_70	Singing,Accordion
NJEPbGVBJIQ_10_20	Motorcycle,Speech
OdWG_CpDof8_30_40	Helicopter
AJKjF-G68OQ_10_20	Singing,Speech
6ZAjrVllQHE_80_90	Singing,Acoustic_guitar
1v8lZF8BBtY_10_20	Helicopter
1VplKWiv0JE_30_40	Car
Cw88lf9zI0k_10_20	Motorcycle,Speech
3M0B_B3KDzA_30_40	Cheering,Speech
JMe6y83DOVY_380_390	Speech,Dog
CMeg6ecqhtk_30_40	Violin_fiddle,Speech
GNT731Jv5CY_30_40	Speech,Clapping
BY8_yTshv4k_0_10	Speech,Accordion
JuOlMp_mohs_7_17	Blender
1T_wUN5JMeA_40_50	Speech,Vacuum_cleaner
IjF9ZJQG8SM_10_20	Singing,Acoustic_guitar
DpfED0AZg2U_70_80	Singing
KuMoDA39Jh4_100_110	Basketball_bounce,Speech
I8W-zGKfAds_50_60	Singing,Banjo
GZMuZziHk08_220_230	Singing,Speech
5hfbG-moVQE_530_540	Blender,Speech
FXNiXrPAPl8_180_190	Cheering,Speech
MByselXPAY0_30_40	Violin_fiddle,Speech
4SsN6ljFgO4_380_390	Speech,Frying_(food)
EDhwA1ns0J8_60_70	Telephone_bell_ringing
DlQkBlkfyss_140_150	Singing
LitaFzObEEk_20_30	Baby_laughter
8NwUBosfeaM_10_20	Singing
OfBgO-tYDeo_10_20	Cat,Speech
2ygk_DKvF2M_30_40	Speech,Car
DezTXqmBN6U_160_170	Singing,Cheering
Oev9bC67YBU_30_40	Violin_fiddle
OPCVCdBSv4M_160_170	Accordion
Gm8X_YTKzes_80_90	Speech,Dog
DJ1T9Es0htI_310_320	Blender
6hoAXWdtJCY_60_70	Cello,Violin_fiddle,Speech
2FV62F09ICM_500_510	Banjo,Violin_fiddle
OTWQFuyXp8c_220_230	Basketball_bounce,Speech
